Title,Duration,Rating,Description,Image URL,Director,Genres
Forrest Gump,2 hours 22 minutes,8.8,"Forrest Gump, obgleich nicht sonderlich mit Intelligenz gesegnet, war doch durch Zufall bei vielen historischen Augenblicken zugegen; Jenny Curran, seine große Liebe, entzieht sich ihm jedoch.",https://m.media-amazon.com/images/M/MV5BYmM4MDY3NWUtMmI1YS00NTZjLTgwYWQtYzA1MGNkMTIxYjA4XkEyXkFqcGc@._V1_.jpg,Robert Zemeckis,"Drama, Liebesfilm"
The Lord of the Rings: The Two Towers,2 hours 59 minutes,8.8,"Während Frodo und Sam mithilfe des gerissenen Gollum weiter auf Mordor vorrücken, setzt sich die geteilte Gemeinschaft gegen Saurons neuen Verbündeten Saruman und seine Horden von Isengart zur Wehr.",https://m.media-amazon.com/images/M/MV5BMmMxYzQ4ZDgtNTNhMC00YzhjLThhYmItZTJjN2I4MTYwZjU2XkEyXkFqcGc@._V1_.jpg,Peter Jackson,"Action, Abenteuer, Drama"
Fight Club,2 hours 19 minutes,8.8,"Ein unter Schlaflosigkeit leidender Büroangestellter sucht nach einer Möglichkeit, sein Leben zu ändern, und trifft dabei auf einen sorglosen Seifenhändler, der im Untergrund einen Kampfclub unterhält, der sich als etwas noch viel...",https://m.media-amazon.com/images/M/MV5BMzgyZThmZDctNjkwYi00YzU1LWFlY2UtYTIzNmIxZTdlZjVhXkEyXkFqcGc@._V1_.jpg,David Fincher,Drama
Inception,2 hours 28 minutes,8.8,"Ein Dieb stiehlt Unternehmensgeheimnisse mithilfe einer Technologie für gemeinsames Träumen. Dann erhält er den Auftrag, eine Idee im Kopf eines Geschäftsführers festzusetzen.",https://m.media-amazon.com/images/M/MV5BMjQwNGE0MjctMDA3Yi00MGEyLTkyNTAtMjcxMTYxOWE0ZWRkXkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Action, Abenteuer, Science-Fiction"
Star Wars: Episode V - The Empire Strikes Back,2 hours 4 minutes,8.7,"Nachdem die Rebellen auf ihrem neuen Stützpunkt brutal vom Imperium überwältigt worden sind, macht Luke Skywalker bei Meister Yoda einen Jedi-Kurs für Fortgeschrittene, während seine Freunde von Darth Vader verfolgt werden, der da...",https://m.media-amazon.com/images/M/MV5BYWVhZWQyN2EtNzZhNC00ZDIxLWIxNzEtMDliNmIyYzc5ZTE5XkEyXkFqcGc@._V1_.jpg,Irvin Kershner,"Action, Abenteuer, Fantasy"
The Matrix,2 hours 16 minutes,8.7,Ein Computerhacker erfährt von mysteriösen Rebellen die Wahrheit über seine Realität und seine Rolle im Krieg gegen deren Kontrolleure.,https://m.media-amazon.com/images/M/MV5BYjM1YzE0MzMtMDM4Ni00M2M4LWEyYzItNGFjMDkxZTcyNTEyXkEyXkFqcGc@._V1_.jpg,"Lana Wachowski, Lilly Wachowski","Action, Science-Fiction"
Goodfellas,2 hours 25 minutes,8.7,Henry Hill und seine Freunde behaupten sich bei ihrem Aufstieg in der Bandenhierarchie.,https://m.media-amazon.com/images/M/MV5BZTUzZjc3Y2ItNDlhOC00MmY4LWIxMWQtYTlhZjk4ZGI5YWQ3XkEyXkFqcGc@._V1_.jpg,Martin Scorsese,"Biografie, Krimi, Drama"
One Flew Over the Cuckoo's Nest,2 hours 13 minutes,8.7,"Ein Krimineller täuscht, nachdem er wieder einmal in Schwierigkeiten geraten ist, eine Geisteskrankheit vor und wird in eine psychiatrische Anstalt eingewiesen, wo er gegen eine repressive Krankenschwester rebelliert und die verän...",https://m.media-amazon.com/images/M/MV5BMWNjNTMxODQtNThlNy00ZDdkLWIxNGYtZWMyMGQzZjZiZGJmXkEyXkFqcGc@._V1_.jpg,Milos Forman,Drama
Interstellar,2 hours 49 minutes,8.7,"Ein Forscherteam reist auf der Suche nach neuen Welten durch ein Wurmloch im Universum, um das Überleben der Menschheit sicherzustellen.",https://m.media-amazon.com/images/M/MV5BNmIwM2E3YjMtYWUxYi00M2ZkLWFmMzktZWFiYTU4MGM2YTk2XkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Abenteuer, Drama, Science-Fiction"
Se7en,2 hours 7 minutes,8.6,"Zwei Kripobeamte, ein Neuling und ein altgedienter Fuchs jagen einen Serienmörder, der die sieben Todsünden als seinen Modus Operandi verwendet.",https://m.media-amazon.com/images/M/MV5BMDZjNjZlNjQtZjY5Ny00ODdhLTlhYTAtOTc3ZmMyOTcyMzhhXkEyXkFqcGc@._V1_.jpg,David Fincher,"Krimi, Drama, Mystery"
It's a Wonderful Life,2 hours 10 minutes,8.6,"Ein Engel hilft einem barmherzigen, aber ebenso frustrierten Geschäftsmann, seine Verzweiflung zu überwinden, indem er ihm zeigt, wie das Leben ausgesehen hätte, wenn er niemals existiert hätte.",https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_.jpg,Frank Capra,"Drama, Familienfilm, Fantasy"
Shichinin no samurai,3 hours 27 minutes,8.6,"Ein armes Dorf wird ständig von Banditen überfallen, bis es zu seiner Verteidigung sieben arbeitslose Samurai anheuert.",https://m.media-amazon.com/images/M/MV5BYTVmN2RjMjMtMjEzOC00NDBjLTljNmUtMTBlZjJlYzU5NGU0XkEyXkFqcGc@._V1_.jpg,Akira Kurosawa,"Action, Drama"
The Silence of the Lambs,1 hours 58 minutes,8.6,"Eine junge FBI-Agentenanwärterin muss sich einem inhaftierten und manipulativen Mörder anvertrauen, um von ihm die notwendige Hilfe zu erhalten, einen anderen Serienmörder fassen zu können, der seinen Opfern die Haut abzieht.",https://m.media-amazon.com/images/M/MV5BMTM5N2JiN2YtNmVmZS00YTA4LWI0NDgtMzFiMjRmZDU2YmUzXkEyXkFqcGc@._V1_.jpg,Jonathan Demme,"Krimi, Drama, Thriller"
Saving Private Ryan,2 hours 49 minutes,8.6,"Im Anschluss an die Landung in der Normandie begibt sich eine Gruppe von US-Soldaten hinter die feindlichen Linien, um einen Fallschirmjäger herauszuholen, dessen Bruder im Kampf gefallen ist.",https://m.media-amazon.com/images/M/MV5BODhhNmFhMWMtYmUxOC00NzNmLWE5NzUtY2Q0ZDVhMjg5MWEwXkEyXkFqcGc@._V1_.jpg,Steven Spielberg,"Drama, Kriegsfilm"
Cidade de Deus,2 hours 10 minutes,8.6,"Zwei Jungen, die in einem gewalttätigen Stadtviertel Rio de Janeiros aufwachsen, gehen unterschiedliche Wege: der eine wird Fotograf, der andere Drogenhändler.",https://m.media-amazon.com/images/M/MV5BODQ2MTcyMTEtNWFjMS00MTc4LTk5YTMtMWE0NDczZDZhMTg3XkEyXkFqcGc@._V1_.jpg,"Fernando Meirelles, Kátia Lund","Krimi, Drama"
La vita è bella,1 hours 56 minutes,8.6,"Als ein aufgeschlossener jüdischer Buchhändler und sein Sohn Opfer des Holocausts werden, gelingt es diesem durch eine perfekte Mischung aus Willenskraft, Humor und Fantasie, seinen Sohn vor den Gefahren im Lager zu bewahren.",https://m.media-amazon.com/images/M/MV5BYmZhNTZmMTEtMjQ4OC00MmRkLTkzYjItNmVjZWFjNjdlYjNkXkEyXkFqcGc@._V1_.jpg,Roberto Benigni,"Komödie, Drama, Liebesfilm"
The Green Mile,3 hours 9 minutes,8.6,"Die Gefängnisaufseher des Todestraktes verstört einer ihrer neuen Insassen: Ein Schwarzer, der wegen Vergewaltigung und Kindermord angeklagt ist, besitzt auch eine mysteriöse Gabe.",https://m.media-amazon.com/images/M/MV5BNTEyY2E4OGItZGE4Yy00OTI1LThmMWMtNDIyMmY3YzU0MGY0XkEyXkFqcGc@._V1_.jpg,Frank Darabont,"Krimi, Drama, Fantasy"
Terminator 2: Judgment Day,2 hours 17 minutes,8.6,"Ein Cyborg, der identisch mit dem ist, der beim Versuch scheiterte, Sarah Connor umzubringen, soll nun ihren jungen Sohn vor einem weiterentwickelten Cyborg schützen, der ganz aus flüssigem Metall besteht.",https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,James Cameron,"Action, Abenteuer, Science-Fiction"
Star Wars,2 hours 1 minutes,8.6,"Luke Skywalker verbündet sich mit einem Jedi-Ritter, einem großspurigen Piloten, einem Wookie und zwei Droiden, um die Galaxie vor der Welt zerstörenden Raumstation des Imperiums zu bewahren, während er gleichzeitig Prinzessin Lei...",https://m.media-amazon.com/images/M/MV5BN2Q5OGZkODktYjkxNy00MzZlLTg5MmEtY2Q1M2YzNzg4ODllXkEyXkFqcGc@._V1_.jpg,George Lucas,"Action, Abenteuer, Fantasy"
Back to the Future,1 hours 56 minutes,8.5,"Marty McFly, ein 17-jähriger Highschool-Student, wird versehentlich 30 Jahre zurück in die Vergangenheit geschickt, und zwar in einem DeLorean mit eingebauter Zeitmaschine, die sein engster Freund, der eigenwillige Wissenschaftler...",https://m.media-amazon.com/images/M/MV5BMWY0NjZjZjgtZjM3ZC00NTExLTkzNzYtYzJhMzk2ODNiNzgxXkEyXkFqcGc@._V1_.jpg,Robert Zemeckis,"Abenteuer, Komödie, Science-Fiction"
Sen to Chihiro no kamikakushi,2 hours 4 minutes,8.6,"Während ihre Familie in die Vorstadt zieht, durchstreift ein missmutiges 10-jähriges Mädchen eine Welt, die von Göttern, Hexen und Geistern regiert wird, und in der sich Menschen in Bestien verwandeln.",https://m.media-amazon.com/images/M/MV5BNWJlMmQ0ZjktNTFiYy00YzQ5LTg5NGQtY2NjNjRjMTRhMDJjXkEyXkFqcGc@._V1_.jpg,Hayao Miyazaki,"Animation, Abenteuer, Familienfilm"
The Pianist,2 hours 30 minutes,8.5,"Ein polnischer, jüdischer Musiker versucht im Zweiten Weltkrieg die Zerstörung des Warschauer Ghettos zu überleben.",https://m.media-amazon.com/images/M/MV5BOWVmOTg1MDItZjQ1Zi00ZmE1LWIwMWEtNDBhZmU5ZDA2NWQyXkEyXkFqcGc@._V1_.jpg,Roman Polanski,"Biografie, Drama, Musikfilm"
Gisaengchung,2 hours 12 minutes,8.5,"Alle Arbeitslosen, Ki-taek Familie nimmt eigentümliche Interesse an den wohlhabenden und glamourösen Parks für Ihren Lebensunterhalt, bis Sie in einem unerwarteten Vorfall verstrickt.",https://m.media-amazon.com/images/M/MV5BMGFhZjc4Y2YtNTk2OS00NTllLWIzZDUtMWUxNTk2NzVkOWY1XkEyXkFqcGc@._V1_.jpg,Bong Joon Ho,"Drama, Thriller"
Psycho,1 hours 49 minutes,8.5,"Eine Sekretärin aus Phoenix unterschlägt 40.000 Dollar, die für einen Kunden ihres Arbeitgebers bestimmt waren, sucht das Weite und mietet sich in einem abgelegenen Motel ein, das ein junger Mann betreibt, den seine Mutter dominiert.",https://m.media-amazon.com/images/M/MV5BMTgzNTkzNTc2Ml5BMl5BanBnXkFtZTgwNDg4ODE4MzE@._V1_.jpg,Alfred Hitchcock,"Horror, Mystery, Thriller"
Gladiator,2 hours 35 minutes,8.5,"Ein römischer General wird verraten und seine Familie durch den korrupten Sohn eines Kaisers ermordet. Der General kehrt als Gladiator nach Rom zurück, um Rache zu nehmen.",https://m.media-amazon.com/images/M/MV5BNWNmYTU2ZmItMTBjYS00OGJmLTliMDgtN2VkNmU4OGQ2NjZjXkEyXkFqcGc@._V1_.jpg,Ridley Scott,"Action, Abenteuer, Drama"
The Lion King,1 hours 28 minutes,8.5,"Löwenbaby und zukünftiger König Simba sucht nach seiner Identität. Seine ständige Gefallsucht und Neigung, seine Grenzen auszutesten, bringen ihn jedoch manchmal in Schwierigkeiten.",https://m.media-amazon.com/images/M/MV5BZjk3NjI3M2MtYWQwZi00MDRjLTk1NDMtMDMwYmU2NTQ3Nzc4XkEyXkFqcGc@._V1_.jpg,"Roger Allers, Rob Minkoff","Animation, Abenteuer, Drama"
Spider-Man: Across the Spider-Verse,2 hours 20 minutes,8.6,"Miles Morales kehrt im 2. Teil der Spider-Verse-Saga zurück, reist durch das Multiversum und trifft auf ein Team von Spider-People. Uneinig über den Umgang mit einer neuen Bedrohung definiert Miles neu, was es bedeutet, ein Held z...",https://m.media-amazon.com/images/M/MV5BZjI5MjFiZmQtNGQ4Ni00OThjLWE3OTctOGI4NmZiNmZmZmNmXkEyXkFqcGc@._V1_.jpg,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Animation, Action, Abenteuer"
The Departed,2 hours 31 minutes,8.5,"Ein verdeckter Ermittler und ein Maulwurf bei der Polizei versuchen sich gegenseitig zu identifizieren, während sie eine irische Verbrecherbande in South Boston unterwandern.",https://m.media-amazon.com/images/M/MV5BNzcxMWIwYjktMzY4Mi00NjEwLTllYzYtZWMxNzFjMWU0ZmYyXkEyXkFqcGc@._V1_.jpg,Martin Scorsese,"Krimi, Drama, Thriller"
Whiplash,1 hours 46 minutes,8.5,"Ein vielversprechender junger Schlagzeuger schreibt sich an einem gnadenlos strengen Musikkonservatorium ein, wo seine hochfliegenden Träume von einem Lehrer gefördert werden, der vor nichts zurückschreckt, wenn es darum geht, das...",https://m.media-amazon.com/images/M/MV5BNTZiZDhjNjMtYzhlMy00MmQwLWIzNzEtZGNjMmQwYTE0YjY3XkEyXkFqcGc@._V1_.jpg,Damien Chazelle,"Drama, Musikfilm"
American History X,1 hours 59 minutes,8.5,"Ein ehemaliger Neo-Nazi und Skinhead versucht seinen jüngeren Bruder davon abzuhalten, den gleichen falschen Weg zu gehen wie er selbst.",https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg,Tony Kaye,"Krimi, Drama"
Léon,1 hours 50 minutes,8.5,"Nachdem ihre Familie ermordet wurde, wird Mathilda, ein 12-jähriges Mädchen, von Léon, einem professionellen Killer, widerwillig bei sich aufgenommen. Léon und Mathilda entwickeln eine ungewöhnliche Beziehung, da sie zu seinem Sch...",https://m.media-amazon.com/images/M/MV5BNGNiMzAxZTMtYTQzMS00ZTg1LTg1M2ItZTk3NjliN2Q3MDZmXkEyXkFqcGc@._V1_.jpg,Luc Besson,"Action, Krimi, Drama"
Hotaru no haka,1 hours 28 minutes,8.5,Während des Zweiten Weltkriegs ringen ein Junge und seine kleine Schwester in Japan ums Überleben.,https://m.media-amazon.com/images/M/MV5BMTQ4MjQ1NDI5Ml5BMl5BanBnXkFtZTcwMTUwMjUxMQ@@._V1_.jpg,Isao Takahata,"Animation, Drama, Kriegsfilm"
The Prestige,2 hours 10 minutes,8.5,"Zwei Zauberkünstler beginnen einen Wettstreit darüber, wer als erster die ultimative Bühnenillusion erschaffen kann.",https://m.media-amazon.com/images/M/MV5BMGM4NDE5ZmMtY2MwZC00YjMyLWEzM2ItNmQwODQ4ZWQ2MjE4XkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Drama, Mystery, Science-Fiction"
Seppuku,2 hours 13 minutes,8.6,"Ein älterer Ronin-Samurai kommt im Haus eines Feudalherrn an und bittet um einen ehrenwerten Ort, an dem er Selbstmord begehen kann. Aber als der Ronin nach einem jüngeren Samurai fragt, der vor ihm ankam, nehmen die Dinge eine un...",https://m.media-amazon.com/images/M/MV5BZjcxMjY5MGItYTU0MC00OGIxLWE5YjgtMzM3ODMwMzg2MTFkXkEyXkFqcGc@._V1_.jpg,Masaki Kobayashi,"Action, Drama, Mystery"
Dune: Part Two,2 hours 46 minutes,8.5,"Paul Atreides schließt sich mit Chani und den Fremen zusammen, um sich an den Verschwörern zu rächen, die seine Familie zerstört haben.",https://m.media-amazon.com/images/M/MV5BYTAxZjA5NTQtMTJhZC00NjMwLTk5OGUtYmQ3MDM2M2NkMjE1XkEyXkFqcGc@._V1_.jpg,Denis Villeneuve,"Action, Abenteuer, Drama"
The Usual Suspects,1 hours 46 minutes,8.5,"Der einzige Überlebende erzählt, welche verzwackten Ereignisse zu einer Schießerei auf einem Schiff geführt haben, die damit begann, dass fünf Verbrecher sich bei einer angeblich wahllosen polizeilichen Gegenüberstellung trafen.",https://m.media-amazon.com/images/M/MV5BMDRiZWZjMjQtMWE2Zi00NDgzLWI2MWItMDA1OTUyOTc4YmYyXkEyXkFqcGc@._V1_.jpg,Bryan Singer,"Krimi, Drama, Mystery"
Casablanca,1 hours 42 minutes,8.5,"In Casablanca, Marokko, trifft ein zynischer amerikanischer Auswanderer im Dezember 1941 auf eine frühere Geliebte. Dies führt zu nicht vorhergesehenen Komplikationen.",https://m.media-amazon.com/images/M/MV5BNmJkODYwMGUtNTFjMC00MDNkLTlmNTgtN2E4YTllZTUxYmEyXkEyXkFqcGc@._V1_.jpg,Michael Curtiz,"Drama, Liebesfilm, Kriegsfilm"
Intouchables,1 hours 52 minutes,8.5,"Nachdem er durch einen Paragliding-Unfall gelähmt ist, stellt ein Aristokrat einen jungen Mann aus der Vorstadt als seinen Pfleger ein.",https://m.media-amazon.com/images/M/MV5BODE3ZGIwODctN2QwOC00YzMwLWJjMjUtZTU0MzdiYjUxZTFmXkEyXkFqcGc@._V1_.jpg,"Olivier Nakache, Éric Toledano","Komödie, Drama"
Nuovo Cinema Paradiso,2 hours 54 minutes,8.5,"Ein Filmemacher erinnert sich seiner Kindheit, als er sich in seinem Dorfkino in die Wunderwelt des Zelluloids verliebte und eine tiefe Freundschaft mit dem Filmvorführer schloss.",https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg,Giuseppe Tornatore,"Drama, Liebesfilm"
Modern Times,1 hours 27 minutes,8.5,Der Tramp versucht mit der Hilfe einer jungen obdachlosen Frau in der modernen industriellen Gesellschaft zu leben.,https://m.media-amazon.com/images/M/MV5BNDMwMzEwMmItNmE2Zi00MjJjLTkwZTQtODI2NGYyYTJjZTNiXkEyXkFqcGc@._V1_.jpg,Charles Chaplin,"Komödie, Drama, Liebesfilm"
Alien,1 hours 57 minutes,8.5,"Nachdem ein Raumfrachter eine unbekannte Funkmeldung als Notrufsignal interpretiert, folgt er ihm und landet auf einem Mond, wo eines der Besatzungsmitglieder von einem mysteriösen Lebewesen angegriffen wird. Als die Besatzung sch...",https://m.media-amazon.com/images/M/MV5BOGYzYjUyYmUtNDc4Ny00YThmLWI4YjctY2VlYjBhMDU0NmM1XkEyXkFqcGc@._V1_.jpg,Ridley Scott,"Horror, Science-Fiction"
Rear Window,1 hours 52 minutes,8.5,"Ein an den Rollstuhl gefesselter Fotograf beobachtet seine Nachbarn vom Fenster seiner Wohnung aus und gelangt dabei zu der Überzeugung, dass einer von ihnen ein Mörder ist.",https://m.media-amazon.com/images/M/MV5BMTU1NzUyNDg3Ml5BMl5BanBnXkFtZTgwNzA1NjM0MTE@._V1_.jpg,Alfred Hitchcock,"Mystery, Thriller"
C'era una volta il West,2 hours 46 minutes,8.5,"Ein geheimnisvoller Fremder mit einer Mundharmonika tut sich mit einem berüchtigten Desperado zusammen, um eine wunderschöne Witwe vor einem gnadenlosen Killer zu schützen, der für die Eisenbahngesellschaft arbeitet.",https://m.media-amazon.com/images/M/MV5BNDIxODM2ODAzM15BMl5BanBnXkFtZTgwNDI4OTU0MTE@._V1_.jpg,Sergio Leone,"Drama, Western"
City Lights,1 hours 27 minutes,8.5,"Mithilfe eines reichen, aber launischen Gewohnheitstrinkers häuft ein vertrauensseliger Vagabund, der sich in ein blindes Blumenmädchen verliebt hat, möglichst viel Geld an, um ihr medizinische Hilfe zukommen zu lassen.",https://m.media-amazon.com/images/M/MV5BMjEzOTM2NTY0Nl5BMl5BanBnXkFtZTgwNzY2MjcyMjE@._V1_.jpg,Charles Chaplin,"Komödie, Drama, Liebesfilm"
Django Unchained,2 hours 45 minutes,8.5,"Mit der Hilfe eines deutschen Kopfgeldjägers macht sich ein befreiter Sklave auf den Weg, seine Frau vor einem brutalen Plantagenbesitzer in Mississippi zu retten.",https://m.media-amazon.com/images/M/MV5BMTNmZTA3NDMtYzlkNC00ZmNmLWI1MjUtMjYyOWE3ZTQ4ODFhXkEyXkFqcGc@._V1_.jpg,Quentin Tarantino,"Komödie, Drama, Western"
Apocalypse Now,2 hours 27 minutes,8.4,"Während des Vietnamkrieges wird Captain Willard auf eine gefährliche Mission nach Kambodscha geschickt, um dort einen abtrünnigen Oberst umzubringen, der sich bei einem einheimischen Volksstamm selbst zum Gott erklärt hat.",https://m.media-amazon.com/images/M/MV5BYTFiYzc0YzctOWU1My00NGNlLWI0MzYtNjdkNDM5YWE3MGVjXkEyXkFqcGc@._V1_.jpg,Francis Ford Coppola,"Drama, Mystery, Kriegsfilm"
Memento,1 hours 53 minutes,8.4,"Ein Mann versucht, die Suche nach dem Mörder seiner Frau und den Verlust seines Kurzzeitgedächtnisses unter einen Hut zu bringen, auch wenn das erst einmal ein Hindernis zu sein scheint.",https://m.media-amazon.com/images/M/MV5BNjgwZDE2YjMtOTFmMy00M2NmLTg5MDAtMzUyNmVkOWY4MDEzXkEyXkFqcGc@._V1_.jpg,Christopher Nolan,"Mystery, Thriller"
WALL·E,1 hours 38 minutes,8.4,"In ferner Zukunft tritt ein kleiner müllsammelnder Roboter versehentlich eine Reise in den Weltraum an, die letzten Endes über das Schicksal der Menschheit entscheiden wird.",https://m.media-amazon.com/images/M/MV5BYzRiZWI5NzMtNGViOS00ZjYxLWI2ZDEtNDU5NTMxMGNlZGRlXkEyXkFqcGc@._V1_.jpg,Andrew Stanton,"Animation, Abenteuer, Familienfilm"
Raiders of the Lost Ark,1 hours 55 minutes,8.4,"Der Archäologe und Abenteurer Indiana Jones wird von der US-Regierung beauftragt, die Bundeslade noch vor den Nazis zu finden.",https://m.media-amazon.com/images/M/MV5BYjk4OTY5MDQtMDQ0MC00ODQxLTg3NzQtMzk3ZTBjYzNkMWI5XkEyXkFqcGc@._V1_.jpg,Steven Spielberg,"Action, Abenteuer"
12th Fail,2 hours 27 minutes,8.9,Die wahre Geschichte des IPS-Beamten Manoj Kumar Sharma und der IRS-Beamtin Shraddha Joshi.,https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg,Vidhu Vinod Chopra,"Biografie, Drama"
Das Leben der Anderen,2 hours 17 minutes,8.4,"Ostberlin 1984: Ein Stasi-Offizier überwacht einen Schriftsteller und dessen Liebhaberin, als er feststellt, dass er immer mehr in deren Leben hineingezogen wird.",https://m.media-amazon.com/images/M/MV5BN2Q0NzljMTItOTc5YS00YWMxLTgwODUtZDI4NzhiOTcwMmVmXkEyXkFqcGc@._V1_.jpg,Florian Henckel von Donnersmarck,"Drama, Mystery, Thriller"
Sunset Blvd.,1 hours 50 minutes,8.4,"Ein heruntergekommener Drehbuchautor schreibt für einen früheren Stummfilmstar, der von der Leinwand Hollywoods verschwunden ist, ein Drehbuch.",https://m.media-amazon.com/images/M/MV5BMTc5Nzc1ODk0M15BMl5BanBnXkFtZTgwNzg1MTczMTE@._V1_.jpg,Billy Wilder,"Drama, Film Noir"
